"id","price","grams","district","gender","dish_type","month","season","youandme"
"195",2.5,NA,"Sambour","male","chopped_fish","March","dry","self"
"195",5,NA,"Sambour","male","chopped_fish","March","dry","others"
"195",7,NA,"Sambour","male","sliced_fish","March","dry","self"
"195",18,NA,"Sambour","male","sliced_fish","March","dry","others"
"196",2.5,NA,"Sambour","female","chopped_fish","March","dry","self"
"196",5,NA,"Sambour","female","chopped_fish","March","dry","others"
"197",2.5,NA,"Sambour","male","chopped_fish","March","dry","self"
"197",5,NA,"Sambour","male","chopped_fish","March","dry","others"
"197",2.5,NA,"Sambour","male","sliced_fish","March","dry","self"
"197",5,NA,"Sambour","male","sliced_fish","March","dry","others"
"202",4,NA,"Chhloung","female","sliced_fish","March","dry","self"
"202",20,NA,"Chhloung","female","sliced_fish","March","dry","others"
"203",2,NA,"Sambour","male","chopped_fish","March","dry","self"
"203",5,NA,"Sambour","male","chopped_fish","March","dry","others"
"203",2,NA,"Sambour","male","pufferfish","March","dry","self"
"203",5,NA,"Sambour","male","pufferfish","March","dry","others"
"206",2,NA,"Sambour","male","chopped_fish","March","dry","self"
"211",2,NA,"Chhloung","male","chopped_fish","March","dry","self"
"212",2,NA,"Chhloung","male","chopped_fish","March","dry","self"
"214",5,NA,"Chhloung","female","chopped_fish","March","dry","self"
"214",10,NA,"Chhloung","female","chopped_fish","March","dry","others"
"214",2,NA,"Chhloung","female","pufferfish","March","dry","self"
"214",16,NA,"Chhloung","female","pufferfish","March","dry","others"
"215",4,NA,"Kracheh","female","chopped_fish","March","dry","self"
"215",8,NA,"Kracheh","female","chopped_fish","March","dry","others"
"216",1,NA,"Kracheh","male","chopped_fish","March","dry","self"
"216",2,NA,"Kracheh","male","chopped_fish","March","dry","others"
"219",10,NA,"Kracheh","female","sliced_fish","March","dry","self"
"219",5,NA,"Kracheh","female","sliced_fish","March","dry","others"
"221",10,NA,"Kracheh","female","chopped_fish","March","dry","self"
"221",50,NA,"Kracheh","female","chopped_fish","March","dry","others"
"221",5,NA,"Kracheh","female","sliced_fish","March","dry","self"
"221",10,NA,"Kracheh","female","sliced_fish","March","dry","others"
"222",5,NA,"Kracheh","female","sliced_fish","March","dry","self"
"222",10,NA,"Kracheh","female","sliced_fish","March","dry","others"
"223",7,NA,"Kracheh","female","chopped_fish","March","dry","self"
"223",15,NA,"Kracheh","female","chopped_fish","March","dry","others"
"223",5,NA,"Kracheh","female","sliced_fish","March","dry","self"
"223",10,NA,"Kracheh","female","sliced_fish","March","dry","others"
"224",2.5,NA,"Kracheh","female","chopped_fish","March","dry","self"
"224",7.5,NA,"Kracheh","female","chopped_fish","March","dry","others"
"224",2,NA,"Kracheh","female","sliced_fish","March","dry","self"
"224",5,NA,"Kracheh","female","sliced_fish","March","dry","others"
"224",2,NA,"Kracheh","female","pufferfish","March","dry","self"
"224",5,NA,"Kracheh","female","pufferfish","March","dry","others"
"225",5,NA,"Kracheh","male","chopped_fish","March","dry","self"
"225",10,NA,"Kracheh","male","chopped_fish","March","dry","others"
"227",3,NA,"Kracheh","male","sliced_fish","March","dry","self"
"227",5,NA,"Kracheh","male","sliced_fish","March","dry","others"
"228",1.5,NA,"Kracheh","male","pufferfish","March","dry","self"
"228",3,NA,"Kracheh","male","pufferfish","March","dry","others"
"231",1,NA,"Kracheh","male","chopped_fish","March","dry","self"
"231",1.5,NA,"Kracheh","male","chopped_fish","March","dry","others"
"231",2,NA,"Kracheh","male","sliced_fish","March","dry","self"
"231",2.5,NA,"Kracheh","male","sliced_fish","March","dry","others"
"232",1,NA,"Kracheh","male","chopped_fish","March","dry","self"
"232",2,NA,"Kracheh","male","chopped_fish","March","dry","others"
"232",2.5,NA,"Kracheh","male","sliced_fish","March","dry","self"
"232",3.75,NA,"Kracheh","male","sliced_fish","March","dry","others"
"232",1,NA,"Kracheh","male","pufferfish","March","dry","self"
"232",2.5,NA,"Kracheh","male","pufferfish","March","dry","others"
"235",2,NA,"Kracheh","female","chopped_fish","March","dry","self"
"235",5,NA,"Kracheh","female","chopped_fish","March","dry","others"
"235",2,NA,"Kracheh","female","sliced_fish","March","dry","self"
"235",5,NA,"Kracheh","female","sliced_fish","March","dry","others"
"236",1,NA,"Kracheh","female","chopped_fish","March","dry","self"
"236",2,NA,"Kracheh","female","chopped_fish","March","dry","others"
"237",5,NA,"Kracheh","female","chopped_fish","March","dry","self"
"237",1,NA,"Kracheh","female","chopped_fish","March","dry","others"
"238",0.75,NA,"Kracheh","female","chopped_fish","March","dry","self"
"238",2.5,NA,"Kracheh","female","chopped_fish","March","dry","others"
"239",0.15,NA,"Kracheh","female","chopped_fish","March","dry","self"
"239",2.25,NA,"Kracheh","female","chopped_fish","March","dry","others"
"240",0.25,NA,"Kracheh","female","chopped_fish","March","dry","self"
"240",1,NA,"Kracheh","female","chopped_fish","March","dry","others"
"240",0.5,NA,"Kracheh","female","sliced_fish","March","dry","self"
"240",2.5,NA,"Kracheh","female","sliced_fish","March","dry","others"
"240",1,NA,"Kracheh","female","pufferfish","March","dry","self"
"240",1,NA,"Kracheh","female","pufferfish","March","dry","others"
"241",0.75,NA,"Kracheh","female","chopped_fish","March","dry","self"
"241",4,NA,"Kracheh","female","chopped_fish","March","dry","others"
"241",2.5,NA,"Kracheh","female","sliced_fish","March","dry","self"
"241",5,NA,"Kracheh","female","sliced_fish","March","dry","others"
"241",0.75,NA,"Kracheh","female","pufferfish","March","dry","self"
"241",1.5,NA,"Kracheh","female","pufferfish","March","dry","others"
"242",0.75,NA,"Kracheh","female","pufferfish","March","dry","self"
"242",3,NA,"Kracheh","female","pufferfish","March","dry","others"
"244",2,NA,"Kracheh","female","pufferfish","March","dry","self"
"244",5,NA,"Kracheh","female","pufferfish","March","dry","others"
"246",0.5,NA,"Kracheh","female","chopped_fish","March","dry","self"
"246",3,NA,"Kracheh","female","chopped_fish","March","dry","others"
"248",2,NA,"Kracheh","female","chopped_fish","March","dry","self"
"248",3,NA,"Kracheh","female","chopped_fish","March","dry","others"
"248",2,NA,"Kracheh","female","sliced_fish","March","dry","self"
